1,Thu Aug 19 21:54:38 2021,125094,car,2,4856,PC7C042B7,0,1
2.0,Sat Jul 31 04:09:44 2021,174434.0,CAR,2.0,4154.0,PC2C2EF9E,PTE,VC965
3.0,Sat Aug 14 17:19:04 2021,8538286.0,CAR,2.0,4070.0,PCEECA8B2,PTP,VC965
4.0,Mon Aug  2 18:23:45 2021,5521221.0,CAR,2.0,4095.0,PC3E1512A,PTE,VC965
5.0,Thu Jul 29 22:44:20 2021,3267767.0,CAR,2.0,4135.0,PCC943ECD,PTP,VC965
6.0,Sat Aug 14 03:57:47 2021,8411850.0,CAR,2.0,4680.0,PCC422F4D,PTE,VC965
7.0,Thu Aug 12 03:41:22 2021,6064250.0,CAR,2.0,4702.0,PCDBC3AC9,PTE,VC965
8.0,Sun Aug 22 10:29:58 2021,6871937.0,VAN,2.0,4592.0,PC627AA14,PTE,VC965
9.0,Fri Aug  6 14:23:08 2021,2055930.0,CAR,2.0,4100.0,PCC6DD8D5,PTE,VCD2F
10.0,Sun Aug 15 13:43:51 2021,8775910.0,CAR,2.0,4143.0,PC5F47DCF,PTP,VC965
11.0,Wed Aug  4 15:52:13 2021,4525747.0,CAR,2.0,4466.0,PC6E93A05,PTC,VC965
12.0,Wed Aug 18 02:22:15 2021,5276143.0,VAN,2.0,4352.0,PC99B9343,PTE,VC965
13.0,Thu Aug 19 16:01:02 2021,5405144.0,VAN,2.0,4574.0,PCC1F6F13,PTC,VCD2F
14.0,Tue Aug  3 14:55:00 2021,9309466.0,CAR,2.0,4902.0,PC425C6EC,PTP,VCD2F
15.0,Thu Aug  5 04:00:30 2021,6494070.0,VAN,2.0,4012.0,PCEF5C190,PTE,VC965
16.0,Sun Aug  8 13:08:17 2021,4880588.0,CAR,2.0,4458.0,PCECEBBFA,PTC,VCD2F
17.0,Wed Aug  4 04:56:15 2021,6964507.0,CAR,2.0,4886.0,PC4D892D7,PTE,VC965
18.0,Sun Aug 15 11:22:44 2021,5740782.0,TRUCK,4.0,4680.0,PCC422F4D,PTC,VC965
19.0,Fri Jul 30 11:20:47 2021,1060261.0,VAN,2.0,4899.0,PC4967767,PTP,VCB43
20.0,Sun Aug  8 21:22:56 2021,6599783.0,CAR,2.0,4855.0,PC03C5C15,PTP,VCD2F
21.0,Wed Aug 11 10:33:15 2021,4573378.0,CAR,2.0,4737.0,PCED7EAFE,PTP,VC965
22.0,Fri Aug  6 02:02:33 2021,1362666.0,CAR,2.0,4140.0,PC5D4821F,PTC,VC965
23.0,Mon Aug  9 05:07:58 2021,9227112.0,CAR,2.0,4961.0,PC92C5115,PTP,VC965
24.0,Fri Aug 13 18:21:04 2021,1245885.0,CAR,2.0,4148.0,PCDFBBEBB,PTP,VC965
25.0,Thu Aug 12 01:36:28 2021,6702238.0,CAR,2.0,4630.0,PCA26D872,PTP,VC965
26.0,Wed Aug 11 04:05:21 2021,7598066.0,CAR,2.0,5003.0,PCAC9371E,PTE,VC965
27.0,Sun Aug  8 19:09:41 2021,2959560.0,CAR,2.0,4243.0,PCC4F7DCE,PTP,VC965
28.0,Sun Aug  1 02:04:42 2021,9223690.0,CAR,2.0,4023.0,PC77793DF,PTE,VC965
29.0,Sun Aug 15 11:11:42 2021,495967.0,CAR,2.0,4987.0,PCF4A9637,PTP,VC965
30.0,Sat Aug 14 03:39:26 2021,1920115.0,CAR,2.0,4755.0,PC628DCED,PTE,VC965
31.0,Wed Aug 18 23:33:41 2021,9940618.0,TRUCK,4.0,4079.0,PCF1366ED,PTE,VC965
32.0,Fri Aug  6 10:18:54 2021,733942.0,CAR,2.0,4616.0,PCE6675F9,PTE,VCB43
33.0,Thu Aug 19 15:58:25 2021,3232373.0,TRUCK,4.0,4245.0,PC6594AD4,PTE,VC965
34.0,Thu Aug 19 07:23:18 2021,2164250.0,TRUCK,4.0,4090.0,PC1EE951B,PTP,VCB43
35.0,Sun Aug  1 09:10:05 2021,3714822.0,TRUCK,4.0,4383.0,PC4BFE950,PTE,VCB43
36.0,Sat Aug  7 13:11:54 2021,9870882.0,VAN,2.0,4449.0,PCAACD453,PTE,VCB43
37.0,Tue Aug 10 01:27:00 2021,834998.0,CAR,2.0,4351.0,PC4E572D8,PTC,VCD2F
38.0,Tue Aug 10 14:31:35 2021,6715866.0,CAR,2.0,4159.0,PC5631507,PTP,VC965
39.0,Sun Aug  8 09:43:26 2021,9723146.0,CAR,2.0,4018.0,PCCB2657A,PTE,VC965
40.0,Mon Aug  2 16:18:51 2021,2871310.0,CAR,2.0,4827.0,PC7D68CD9,PTC,VC965
41.0,Sat Aug 14 13:13:47 2021,7657312.0,VAN,2.0,4115.0,PCF5D4B0A,PTE,VC965
42.0,Tue Aug  3 03:53:05 2021,9802000.0,CAR,2.0,4102.0,PC8C9B099,PTC,VCD2F
43.0,Mon Aug 16 00:36:00 2021,6514220.0,CAR,2.0,4398.0,PCE60D320,PTE,VC965
44.0,Fri Aug 20 02:10:55 2021,3803763.0,CAR,2.0,4918.0,PC8F8E598,PTP,VC965
45.0,Sat Aug 14 06:32:07 2021,2223161.0,CAR,2.0,4984.0,PCBABF130,PTE,VC965
46.0,Fri Jul 30 02:19:56 2021,1228573.0,TRUCK,4.0,4460.0,PCDF04952,PTP,VC965
47.0,Wed Aug  4 14:30:03 2021,4872795.0,CAR,2.0,4326.0,PC356AE8F,PTP,VCB43
48.0,Sat Aug 14 04:04:45 2021,2074513.0,VAN,2.0,4600.0,PCB99E8F9,PTC,VC965
49.0,Thu Aug 12 04:58:14 2021,7368256.0,CAR,2.0,4735.0,PC2294422,PTE,VCD2F
50.0,Wed Aug 11 10:50:27 2021,2168309.0,CAR,2.0,4162.0,PC51A39A7,PTE,VC965
51.0,Sun Aug  8 08:37:17 2021,5131457.0,CAR,2.0,4012.0,PCEF5C190,PTP,VC965
52.0,Mon Aug  9 23:48:43 2021,2398430.0,CAR,2.0,4223.0,PCA37D114,PTC,VC965
53.0,Wed Aug 18 17:50:45 2021,6065595.0,VAN,2.0,4990.0,PCFE28E92,PTC,VC965
54.0,Mon Aug  2 16:59:38 2021,9885768.0,CAR,2.0,4154.0,PC2C2EF9E,PTP,VCD2F
55.0,Thu Aug 19 04:54:56 2021,4327783.0,CAR,2.0,4913.0,PC685427C,PTP,VC965
56.0,Tue Aug 17 18:11:45 2021,3904834.0,TRUCK,4.0,4388.0,PC803F0F2,PTC,VC965
57.0,Mon Aug  2 19:48:50 2021,1358382.0,CAR,2.0,4299.0,PCAD3B9BC,PTP,VCB43
58.0,Tue Aug 17 16:46:31 2021,3579992.0,CAR,2.0,4725.0,PCB905D54,PTC,VC965
59.0,Wed Aug 11 22:21:30 2021,8130760.0,CAR,2.0,4229.0,PCD0DDD3D,PTC,VC965
60.0,Fri Jul 30 09:54:24 2021,6546218.0,CAR,2.0,4354.0,PC0671DD4,PTE,VC965
61.0,Sat Aug  7 16:42:24 2021,3673515.0,CAR,2.0,4127.0,PCA2D76A5,PTC,VC965
62.0,Wed Aug  4 20:43:54 2021,9888875.0,TRUCK,4.0,4522.0,PC0A326BE,PTC,VC965
63.0,Sat Aug  7 20:44:08 2021,8136080.0,TRUCK,4.0,4410.0,PC6EFC03B,PTP,VCB43
64.0,Thu Aug 12 19:23:36 2021,2078447.0,VAN,2.0,4689.0,PC89C35AD,PTP,VCB43
65.0,Sat Aug  7 16:41:49 2021,8090807.0,CAR,2.0,4296.0,PCA24C1E1,PTC,VCD2F
66.0,Sun Aug  1 07:32:04 2021,4309692.0,CAR,2.0,4303.0,PC2E2E0C0,PTC,VC965
67.0,Wed Aug 11 14:24:25 2021,3752767.0,CAR,2.0,4346.0,PCA35B156,PTC,VC965
68.0,Wed Aug  4 23:10:29 2021,9407219.0,CAR,2.0,4253.0,PC82A16E6,PTC,VC965
69.0,Wed Aug  4 14:29:11 2021,2167845.0,VAN,2.0,5007.0,PC869BDE8,PTE,VC965
70.0,Tue Aug 17 01:20:54 2021,7903517.0,CAR,2.0,4534.0,PCAD9E1F9,PTP,VCD2F
71.0,Sat Aug 21 02:09:35 2021,7385817.0,CAR,2.0,4742.0,PC05B8749,PTP,VC965
72.0,Thu Aug 19 17:52:30 2021,5673776.0,CAR,2.0,4944.0,PC41EEC34,PTP,VC965
73.0,Tue Aug 17 21:58:23 2021,823973.0,CAR,2.0,4171.0,PC36C9AE8,PTC,VC965
74.0,Tue Aug 10 13:03:36 2021,9361361.0,CAR,2.0,4750.0,PCD987A9D,PTC,VC965
75.0,Sat Aug 21 19:25:57 2021,8744445.0,CAR,2.0,4878.0,PC08F56A1,PTP,VC965
76.0,Sun Aug  8 14:01:06 2021,2910050.0,CAR,2.0,4274.0,PC88EA64E,PTE,VC965
77.0,Thu Aug  5 11:21:12 2021,1686323.0,CAR,2.0,4377.0,PC4AC8EAD,PTP,VC965
78.0,Sun Aug  1 07:10:55 2021,9113006.0,CAR,2.0,4265.0,PC5B2AFFA,PTE,VC965
79.0,Fri Jul 30 15:53:32 2021,660597.0,CAR,2.0,4304.0,PC89FB76E,PTE,VC965
80.0,Sun Aug 22 16:38:30 2021,8500934.0,CAR,2.0,4797.0,PCE2D63A7,PTC,VC965
81.0,Thu Aug 19 13:11:29 2021,395519.0,TRUCK,4.0,4061.0,PC3A63A79,PTE,VC965
82.0,Mon Aug  9 14:17:00 2021,2616607.0,TRUCK,4.0,4085.0,PC6150735,PTP,VCB43
83.0,Sat Aug 14 10:36:28 2021,7218572.0,CAR,2.0,4675.0,PCE49911B,PTC,VCB43
84.0,Thu Aug 12 11:53:03 2021,994857.0,TRUCK,4.0,4997.0,PC8111910,PTC,VC965
85.0,Mon Aug  2 20:12:17 2021,3168436.0,CAR,2.0,4241.0,PC7241796,PTC,VCB43
86.0,Fri Aug 13 20:06:41 2021,1572712.0,CAR,2.0,4890.0,PCAFC8A56,PTC,VC965
87.0,Thu Jul 29 17:35:21 2021,545955.0,CAR,2.0,4537.0,PC10C700F,PTP,VC965
88.0,Sun Aug 22 05:39:41 2021,2013386.0,CAR,2.0,4743.0,PCE6EEF2E,PTP,VC965
89.0,Wed Aug 11 02:43:03 2021,6566889.0,CAR,2.0,4026.0,PC2CE9851,PTE,VC965
90.0,Wed Aug 11 02:39:24 2021,852585.0,CAR,2.0,4373.0,PC8806694,PTC,VC965
91.0,Thu Jul 29 14:30:02 2021,6196238.0,TRUCK,4.0,4116.0,PCCA836C9,PTE,VC965
92.0,Mon Aug  2 11:07:12 2021,6031416.0,TRUCK,4.0,4785.0,PC787D664,PTC,VCB43
93.0,Wed Aug  4 15:15:09 2021,6905906.0,VAN,2.0,5002.0,PC585BD38,PTP,VCB43
94.0,Wed Aug 11 17:34:54 2021,3764238.0,CAR,2.0,4728.0,PC07BF95F,PTP,VCD2F
95.0,Thu Aug  5 06:31:23 2021,1673826.0,TRUCK,4.0,4015.0,PC524833E,PTC,VC965
96.0,Sat Aug 21 18:13:29 2021,316662.0,CAR,2.0,4817.0,PCFF02057,PTE,VCB43
97.0,Thu Aug 19 22:17:26 2021,2992127.0,TRUCK,4.0,4857.0,PC59F4E22,PTP,VC965
98.0,Thu Aug 19 12:02:31 2021,7517992.0,CAR,2.0,4724.0,PC3DE08BF,PTC,VCB43
99.0,Thu Aug 12 06:54:12 2021,6232948.0,TRUCK,4.0,4725.0,PCB905D54,PTC,VC965
100.0,Fri Jul 30 08:09:03 2021,4369477.0,CAR,2.0,4591.0,PCC9875AC,PTP,VCB43
101.0,Fri Aug  6 18:18:53 2021,4388245.0,TRUCK,4.0,4792.0,PC3E35002,PTC,VC965
102.0,Sat Aug  7 20:49:07 2021,8392508.0,CAR,2.0,4927.0,PC2D22627,PTP,VCB43
103.0,Fri Jul 30 16:08:08 2021,6858708.0,CAR,2.0,4397.0,PCB070250,PTE,VC965
104.0,Fri Aug  6 06:59:16 2021,6215048.0,TRUCK,4.0,4195.0,PC308070B,PTE,VC965
105.0,Fri Aug 13 11:20:04 2021,7046549.0,TRUCK,4.0,4336.0,PCD30AB50,PTP,VCB43
106.0,Wed Aug  4 18:37:46 2021,7899881.0,TRUCK,4.0,4520.0,PC8140983,PTE,VCB43
107.0,Fri Aug 20 01:13:53 2021,9824238.0,CAR,2.0,4328.0,PC3777B8E,PTP,VCB43
108.0,Sun Aug  8 10:25:38 2021,8180012.0,CAR,2.0,4749.0,PC65C93B7,PTE,VC965
109.0,Tue Aug 10 12:42:19 2021,426578.0,CAR,2.0,4990.0,PCFE28E92,PTC,VC965
110.0,Thu Jul 29 11:33:20 2021,3284775.0,CAR,2.0,4231.0,PC016D687,PTP,VC965
111.0,Sat Jul 31 18:42:46 2021,5487227.0,CAR,2.0,4643.0,PC6713209,PTP,VC965
112.0,Thu Aug 12 23:09:32 2021,1772941.0,CAR,2.0,4121.0,PCEC57A8E,PTC,VC965
113.0,Fri Aug 13 04:52:01 2021,2471284.0,VAN,2.0,4400.0,PC3BD7D63,PTP,VC965
114.0,Sun Aug 22 03:05:40 2021,6040036.0,CAR,2.0,4119.0,PC9EBEDB5,PTP,VCD2F
115.0,Fri Aug 13 12:39:10 2021,9249042.0,TRUCK,4.0,4695.0,PC4A5D62F,PTE,VC965
116.0,Mon Aug  9 22:59:28 2021,5791925.0,CAR,2.0,4495.0,PC210A754,PTE,VCB43
117.0,Fri Aug  6 01:01:14 2021,3696614.0,TRUCK,4.0,4434.0,PCA491459,PTC,VC965
118.0,Mon Aug  2 05:42:51 2021,7892550.0,CAR,2.0,4299.0,PCAD3B9BC,PTE,VCB43
119.0,Sun Aug  1 19:31:14 2021,5673214.0,VAN,2.0,4023.0,PC77793DF,PTC,VC965
120.0,Fri Aug  6 05:58:42 2021,6657095.0,TRUCK,4.0,4365.0,PC0F226DF,PTE,VCD2F
121.0,Mon Aug  9 16:03:31 2021,2067579.0,VAN,2.0,4582.0,PC98750ED,PTC,VCB43
122.0,Fri Aug 13 11:42:48 2021,1005686.0,CAR,2.0,4119.0,PC9EBEDB5,PTC,VCD2F
123.0,Sun Aug  8 02:44:35 2021,7521772.0,VAN,2.0,4416.0,PC546F252,PTE,VC965
124.0,Sun Aug 15 08:43:48 2021,6545042.0,CAR,2.0,4898.0,PC0AE9E1B,PTE,VCD2F
125.0,Mon Aug  9 05:03:17 2021,3473929.0,TRUCK,4.0,4698.0,PC8BCEB19,PTP,VC965
126.0,Sun Aug 22 02:13:18 2021,29457.0,CAR,2.0,4416.0,PC546F252,PTE,VCB43
127.0,Sat Aug 21 23:03:24 2021,7360318.0,CAR,2.0,4993.0,PC0F0AB4E,PTP,VC965
128.0,Tue Aug 17 10:32:29 2021,3427163.0,TRUCK,4.0,4356.0,PCF1979AE,PTE,VC965
129.0,Fri Jul 30 08:44:05 2021,3007179.0,VAN,2.0,4504.0,PC461DCD3,PTE,VCB43
130.0,Fri Aug 20 06:01:27 2021,2151509.0,CAR,2.0,4811.0,PCBF83C7A,PTP,VCD2F
131.0,Sat Jul 31 05:17:21 2021,1067960.0,CAR,2.0,4574.0,PCC1F6F13,PTC,VC965
132.0,Tue Aug  3 07:01:26 2021,1100257.0,CAR,2.0,4116.0,PCCA836C9,PTC,VC965
133.0,Sun Aug 22 10:01:40 2021,4346999.0,CAR,2.0,4049.0,PC4779D38,PTE,VC965
134.0,Sat Aug 14 17:24:04 2021,4371005.0,CAR,2.0,4435.0,PC3E78C17,PTC,VC965
135.0,Sat Aug 14 11:50:01 2021,1583109.0,CAR,2.0,4272.0,PC09BDC08,PTP,VC965
136.0,Wed Aug 18 07:26:20 2021,8808595.0,CAR,2.0,4929.0,PC9E503B6,PTE,VC965
137.0,Thu Aug  5 01:15:16 2021,1841800.0,VAN,2.0,4531.0,PC857F4A0,PTE,VC965
138.0,Sat Jul 31 00:28:44 2021,1825050.0,CAR,2.0,4222.0,PC15EC378,PTE,VCD2F
139.0,Fri Aug 13 09:54:01 2021,8490556.0,CAR,2.0,4657.0,PCC591410,PTP,VC965
140.0,Thu Jul 29 23:02:42 2021,2549393.0,TRUCK,4.0,4481.0,PC30AAE76,PTE,VC965
141.0,Wed Aug 11 13:15:55 2021,9636921.0,TRUCK,4.0,4145.0,PC5FBE4B8,PTE,VCB43
142.0,Thu Aug 19 21:13:57 2021,8899022.0,TRUCK,4.0,4813.0,PCACF7982,PTP,VCB43
143.0,Thu Aug 19 08:46:24 2021,8112100.0,VAN,2.0,4585.0,PCF3AE602,PTP,VCB43
144.0,Thu Jul 29 16:02:19 2021,335366.0,CAR,2.0,4924.0,PCE3427C5,PTC,VCD2F
145.0,Sat Jul 31 19:32:50 2021,1716955.0,TRUCK,4.0,4584.0,PC1085B78,PTE,VC965
146.0,Sat Aug 21 13:56:33 2021,4153555.0,VAN,2.0,4225.0,PCC1ED0C5,PTE,VCB43
147.0,Sat Jul 31 12:55:05 2021,5626263.0,CAR,2.0,4719.0,PCBD66B01,PTC,VCD2F
148.0,Fri Aug  6 23:05:57 2021,49472.0,CAR,2.0,4830.0,PC12EEFE0,PTE,VC965
149.0,Thu Aug  5 15:24:15 2021,2497636.0,CAR,2.0,4073.0,PCA3797CA,PTE,VC965
150.0,Tue Aug  3 19:13:15 2021,7825358.0,TRUCK,4.0,4954.0,PCA276EBB,PTE,VC965
151.0,Sat Jul 31 11:27:59 2021,6084818.0,VAN,2.0,4732.0,PCD83DE25,PTC,VCB43
152.0,Thu Aug 19 18:53:39 2021,5455899.0,CAR,2.0,4155.0,PC9042B3F,PTE,VCD2F
153.0,Tue Aug 17 22:11:51 2021,1849505.0,VAN,2.0,4142.0,PC7ACFF7C,PTP,VC965
154.0,Wed Aug 18 19:49:38 2021,6114302.0,CAR,2.0,4737.0,PCED7EAFE,PTP,VCD2F
155.0,Sun Aug 15 12:34:18 2021,8064123.0,CAR,2.0,4337.0,PCCF6A454,PTC,VC965
156.0,Fri Aug  6 19:17:50 2021,538972.0,TRUCK,4.0,4507.0,PC11DCA73,PTP,VC965
157.0,Fri Jul 30 13:58:53 2021,6869546.0,TRUCK,4.0,4092.0,PC40C2E00,PTE,VCB43
158.0,Mon Aug  2 16:00:33 2021,3766512.0,CAR,2.0,4269.0,PCC7106FF,PTE,VCB43
159.0,Fri Aug 20 21:45:41 2021,3528403.0,CAR,2.0,4610.0,PCA4D3E9B,PTP,VC965
160.0,Fri Aug 20 04:59:50 2021,4380057.0,VAN,2.0,4980.0,PCBD5C822,PTC,VC965
161.0,Sun Aug 15 00:36:59 2021,7876599.0,CAR,2.0,4295.0,PCD483999,PTP,VCD2F
162.0,Fri Aug 13 00:25:06 2021,969619.0,CAR,2.0,4412.0,PC821BC98,PTC,VC965
163.0,Fri Jul 30 13:42:03 2021,5763049.0,CAR,2.0,4364.0,PCB33ACE8,PTP,VC965
164.0,Mon Aug 16 05:46:00 2021,6079402.0,TRUCK,4.0,4290.0,PC84E8CEF,PTC,VC965
165.0,Sun Aug  1 22:59:23 2021,4832816.0,CAR,2.0,4264.0,PC9DFEBB0,PTE,VCB43
166.0,Fri Aug 20 12:19:46 2021,3518759.0,TRUCK,4.0,4412.0,PC821BC98,PTP,VC965
167.0,Sat Jul 31 02:42:05 2021,4469770.0,TRUCK,4.0,4712.0,PC94168A2,PTE,VCB43
168.0,Fri Aug  6 11:25:34 2021,7942552.0,TRUCK,4.0,4603.0,PC485BE5B,PTP,VCB43
169.0,Tue Aug 17 21:17:32 2021,2493747.0,TRUCK,4.0,4180.0,PC250A90D,PTC,VCB43
170.0,Tue Aug  3 15:31:28 2021,8099060.0,CAR,2.0,4592.0,PC627AA14,PTC,VCB43
171.0,Fri Aug 20 22:50:25 2021,4492765.0,TRUCK,4.0,4008.0,PC5680D80,PTE,VC965
172.0,Fri Aug  6 07:45:56 2021,5758058.0,CAR,2.0,4083.0,PC90346C9,PTC,VCB43
173.0,Thu Aug 19 00:24:55 2021,9496559.0,CAR,2.0,4573.0,PC4D8469D,PTC,VC965
174.0,Fri Jul 30 02:24:22 2021,3174341.0,CAR,2.0,4642.0,PC17D596F,PTE,VC965
175.0,Fri Aug 13 05:55:34 2021,3318165.0,CAR,2.0,4693.0,PCB4CDDA5,PTP,VC965
176.0,Mon Aug  2 14:28:14 2021,7509515.0,TRUCK,4.0,4787.0,PC1BDA119,PTP,VC965
177.0,Tue Aug  3 12:47:44 2021,367073.0,CAR,2.0,4989.0,PC7D7AE48,PTE,VCB43
178.0,Sun Aug  8 09:26:56 2021,8543348.0,TRUCK,4.0,4803.0,PC2BBEEDC,PTP,VC965
179.0,Fri Aug 20 04:16:14 2021,4588656.0,CAR,2.0,4848.0,PCF0FC9B2,PTP,VCB43
180.0,Fri Aug 20 04:22:16 2021,9706662.0,CAR,2.0,4377.0,PC4AC8EAD,PTE,VC965
181.0,Tue Aug 10 03:28:33 2021,3359010.0,CAR,2.0,4947.0,PCE4A44BE,PTC,VC965
182.0,Wed Aug 18 11:24:47 2021,7639441.0,CAR,2.0,4439.0,PC845CEA6,PTC,VC965
183.0,Tue Aug  3 08:52:25 2021,9449600.0,CAR,2.0,4346.0,PCA35B156,PTE,VC965
184.0,Wed Aug 11 06:39:10 2021,7572233.0,CAR,2.0,4718.0,PC81E83B9,PTE,VC965
185.0,Fri Aug 20 03:23:49 2021,7096671.0,TRUCK,4.0,4049.0,PC4779D38,PTP,VC965
186.0,Fri Jul 30 23:54:00 2021,6218100.0,CAR,2.0,4579.0,PC926F0A9,PTP,VCB43
187.0,Wed Aug 11 07:11:55 2021,9500467.0,VAN,2.0,4985.0,PCCA71D2C,PTC,VC965
188.0,Sun Aug 15 20:41:12 2021,2551672.0,TRUCK,4.0,4356.0,PCF1979AE,PTC,VCD2F
189.0,Wed Aug 18 18:28:36 2021,4423795.0,CAR,2.0,4631.0,PCFFF6463,PTP,VCB43
190.0,Mon Aug  9 07:19:12 2021,1520424.0,CAR,2.0,4898.0,PC0AE9E1B,PTE,VC965
191.0,Tue Aug 10 16:39:12 2021,5680437.0,CAR,2.0,4022.0,PCF135377,PTE,VC965
192.0,Mon Aug  9 02:30:05 2021,1469208.0,VAN,2.0,4586.0,PC4A40D50,PTC,VC965
193.0,Mon Aug  9 06:58:52 2021,9017449.0,CAR,2.0,4733.0,PC797AEBF,PTC,VCD2F
194.0,Sat Aug  7 03:09:03 2021,9014873.0,TRUCK,4.0,4764.0,PCF6B0D12,PTP,VC965
